"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"ItemTransactions","DeleteInternalById","DELETE","/api/v2/ItemTransactions","Int32","TResult`1"
"Login","Login","POST","/api/v2/Login/Login","JLogin","AuthResult"
"Login","RefreshToken","POST","/api/v2/Login/RefreshToken","String","AuthResult"
"MaintenanceOrders","GetInternal","GET","/api/v2/MaintenanceOrders","SelectFilter","TSelectData`1"
"MaintenanceOrders","GetInternalById","GET","/api/v2/MaintenanceOrders/GetInternalById","String","TResult`1"
"MaintenanceOrders","PostInternal","POST","/api/v2/MaintenanceOrders","MaintenanceOrder","TResult`1"
"MaintenanceOrders","PutInternal","PUT","/api/v2/MaintenanceOrders","String, MaintenanceOrder","TResult`1"
"MaintenanceOrders","DeleteInternalById","DELETE","/api/v2/MaintenanceOrders","String","TResult`1"
"MaintenanceOrders","DeleteMaintenanceOrderProcedure","DELETE","/api/v2/MaintenanceOrders/DeleteMaintenanceOrderProcedure","MaintenanceProcedureParam","TResult`1"
"MaintenanceOrders","DeleteMaintenanceOrderProcedureItem","DELETE","/api/v2/MaintenanceOrders/DeleteMaintenanceOrderProcedureItem","MaintenanceProcedureItemParam","TResult`1"
"MaintenanceOrders","DeleteMaintenanceOrderProcedureEmployee","DELETE","/api/v2/MaintenanceOrders/DeleteMaintenanceOrderProcedureEmployee","MaintenanceProcedureEmployeeParam","TResult`1"
"ManualSettlement","Describe","POST","/api/v2/ManualSettlement/Describe","","String"
"ManualSettlement","PrepareManualSettlement","POST","/api/v2/ManualSettlement/PrepareManualSettlement","ManualSettlementPrepareParam","TResult`1"
"ManualSettlement","SaveManualSettlement","POST","/api/v2/ManualSettlement/SaveManualSettlement","ManualSettlementSaveParam","TResult`1"
"ManualSettlement","CancelManualSettlement","POST","/api/v2/ManualSettlement/CancelManualSettlement","ManualSettlementCancelParam","TResult`1"
"MixedReceiptsMain","GetInternalById","GET","/api/v2/MixedReceiptsMain/GetInternalById","String","TResult`1"
